,CVE_DOC,CVE_CLPV,STATUS,CVE_VEND,FECHAELAB,FECHA_DOC,FECHA_ENT,FECHA_VEN,FECHA_CANCELA,CAN_TOT,DES_TOT,DES_FIN
7169,F36585,466.0,E,1.0,2021-11-04 11:08:37.287,2021-11-04,2021-10-29 00:00:00,2022-01-03,,4928.400000000001,0.0,0
7170,F36586,6960.0,E,2.0,2021-11-04 11:46:27.377,2021-11-04,2021-11-04 00:00:00,2021-11-04,,5860.3248,0.0,0
7171,F36587,5156.0,E,2.0,2021-11-04 12:50:51.407,2021-11-04,2021-11-04 00:00:00,2021-11-04,,2558.5956,0.0,0
7172,F36588,8505.0,E,2.0,2021-11-04 12:52:24.117,2021-11-04,2021-11-04 00:00:00,2021-11-04,,2700.0,0.0,0
7173,F36589,466.0,E,1.0,2021-11-04 13:25:32.817,2021-11-04,2021-10-29 00:00:00,2022-01-03,,4137.0,0.0,0
7174,F36590,6381.0,E,2.0,2021-11-04 13:28:53.137,2021-11-04,2021-11-04 00:00:00,2021-11-04,,1636.0,0.0,0
7175,F36591,1757.0,E,2.0,2021-11-04 13:46:21.677,2021-11-04,2021-10-21 00:00:00,2021-11-04,,1968.0,0.0,0
7176,F36592,8506.0,E,2.0,2021-11-05 09:18:24.623,2021-11-05,2021-11-04 00:00:00,2021-11-05,,267.24,0.0,0
7177,F36593,8496.0,E,1.0,2021-11-05 09:47:12.980,2021-11-05,2021-11-02 00:00:00,2021-11-05,,425.00000000000006,0.0,0
7178,F36594,8196.0,E,2.0,2021-11-05 10:28:54.593,2021-11-05,2021-11-05 00:00:00,2021-11-05,,224.20000000000002,0.0,0
7179,F36595,4649.0,E,2.0,2021-11-05 10:47:39.953,2021-11-05,2021-11-05 00:00:00,2021-11-05,,880.0000000000001,0.0,0
7180,F36596,6660.0,E,2.0,2021-11-05 10:51:03.633,2021-11-05,2021-10-28 00:00:00,2021-11-05,,16250.000000000002,0.0,0
7181,F36597,6457.0,E,2.0,2021-11-05 10:53:29.450,2021-11-05,2021-10-28 00:00:00,2021-11-05,,794.0000000000001,0.0,0
7182,F36598,6960.0,E,2.0,2021-11-05 11:24:32.003,2021-11-05,2021-11-05 00:00:00,2021-11-05,,7260.000000000001,0.0,0
7183,F36599,8447.0,E,2.0,2021-11-05 11:51:55.177,2021-11-05,2021-11-05 00:00:00,2021-11-05,,2209.1184000000003,0.0,0
